,コード,銘柄名,規模区分
249,6436,アマノ,TOPIX Mid400
250,6448,ブラザー工業,TOPIX Mid400
251,6457,グローリー,TOPIX Mid400
252,6460,セガサミーホールディングス,TOPIX Mid400
253,6465,ホシザキ,TOPIX Mid400
254,6471,日本精工,TOPIX Mid400
255,6472,ＮＴＮ,TOPIX Mid400
256,6473,ジェイテクト,TOPIX Mid400
257,6479,ミネベアミツミ,TOPIX Mid400
258,6481,ＴＨＫ,TOPIX Mid400
259,6501,日立製作所,TOPIX Core30
260,6502,東芝,TOPIX Large70
261,6503,三菱電機,TOPIX Large70
262,6504,富士電機,TOPIX Mid400
263,6506,安川電機,TOPIX Mid400
264,6532,ベイカレント・コンサルティング,TOPIX Mid400
265,6586,マキタ,TOPIX Mid400
266,6592,マブチモーター,TOPIX Mid400
267,6594,日本電産,TOPIX Core30
268,6645,オムロン,TOPIX Large70
269,6674,ジーエス・ユアサ　コーポレーション,TOPIX Mid400
270,6701,日本電気,TOPIX Mid400
271,6702,富士通,TOPIX Large70
272,6723,ルネサスエレクトロニクス,TOPIX Large70
273,6724,セイコーエプソン,TOPIX Mid400
274,6728,アルバック,TOPIX Mid400
275,6752,パナソニック　ホールディングス,TOPIX Large70
276,6753,シャープ,TOPIX Mid400
277,6754,アンリツ,TOPIX Mid400
278,6755,富士通ゼネラル,TOPIX Mid400
279,6758,ソニーグループ,TOPIX Core30
280,6762,ＴＤＫ,TOPIX Mid400
281,6770,アルプスアルパイン,TOPIX Mid400
282,6806,ヒロセ電機,TOPIX Mid400
283,6841,横河電機,TOPIX Mid400
284,6845,アズビル,TOPIX Mid400
285,6849,日本光電工業,TOPIX Mid400
286,6856,堀場製作所,TOPIX Mid400
287,6857,アドバンテスト,TOPIX Mid400
288,6861,キーエンス,TOPIX Core30
289,6869,シスメックス,TOPIX Large70
290,6902,デンソー,TOPIX Large70
291,6920,レーザーテック,TOPIX Large70
292,6923,スタンレー電気,TOPIX Mid400
293,6925,ウシオ電機,TOPIX Mid400
294,6951,日本電子,TOPIX Mid400
295,6952,カシオ計算機,TOPIX Mid400
296,6954,ファナック,TOPIX Core30
297,6963,ローム,TOPIX Mid400
298,6965,浜松ホトニクス,TOPIX Mid400
299,6967,新光電気工業,TOPIX Mid400
300,6971,京セラ,TOPIX Large70
301,6976,太陽誘電,TOPIX Mid400
302,6981,村田製作所,TOPIX Core30
303,6988,日東電工,TOPIX Mid400
304,7011,三菱重工業,TOPIX Large70
305,7012,川崎重工業,TOPIX Mid400
306,7013,ＩＨＩ,TOPIX Mid400
307,7164,全国保証,TOPIX Mid400
308,7167,めぶきフィナンシャルグループ,TOPIX Mid400
309,7180,九州フィナンシャルグループ,TOPIX Mid400
310,7181,かんぽ生命保険,TOPIX Mid400
311,7182,ゆうちょ銀行,TOPIX Mid400
312,7186,コンコルディア・フィナンシャルグループ,TOPIX Mid400
313,7201,日産自動車,TOPIX Large70
314,7202,いすゞ自動車,TOPIX Mid400
315,7203,トヨタ自動車,TOPIX Core30
316,7205,日野自動車,TOPIX Mid400
317,7211,三菱自動車工業,TOPIX Mid400
318,7240,ＮＯＫ,TOPIX Mid400
319,7259,アイシン,TOPIX Mid400
320,7261,マツダ,TOPIX Mid400
321,7267,本田技研工業,TOPIX Core30
322,7269,スズキ,TOPIX Large70
323,7270,ＳＵＢＡＲＵ,TOPIX Large70
324,7272,ヤマハ発動機,TOPIX Mid400
325,7276,小糸製作所,TOPIX Mid400
326,7282,豊田合成,TOPIX Mid400
327,7309,シマノ,TOPIX Large70
328,7313,テイ・エス　テック,TOPIX Mid400
329,7337,ひろぎんホールディングス,TOPIX Mid400
330,7453,良品計画,TOPIX Mid400
331,7458,第一興商,TOPIX Mid400
332,7459,メディパルホールディングス,TOPIX Mid400
333,7476,アズワン,TOPIX Mid400
334,7518,ネットワンシステムズ,TOPIX Mid400
335,7532,パン・パシフィック・インターナショナルホールディングス,TOPIX Mid400
336,7550,ゼンショーホールディングス,TOPIX Mid400
337,7616,コロワイド,TOPIX Mid400
338,7649,スギホールディングス,TOPIX Mid400
339,7701,島津製作所,TOPIX Mid400
340,7730,マニー,TOPIX Mid400
341,7731,ニコン,TOPIX Mid400
342,7732,トプコン,TOPIX Mid400
343,7733,オリンパス,TOPIX Large70
344,7735,ＳＣＲＥＥＮホールディングス,TOPIX Mid400
345,7741,ＨＯＹＡ,TOPIX Core30
346,7747,朝日インテック,TOPIX Mid400
347,7751,キヤノン,TOPIX Large70
348,7752,リコー,TOPIX Mid400
349,7780,メニコン,TOPIX Mid400
350,7832,バンダイナムコホールディングス,TOPIX Large70
351,7846,パイロットコーポレーション,TOPIX Mid400
352,7911,凸版印刷,TOPIX Mid400
353,7912,大日本印刷,TOPIX Mid400
354,7936,アシックス,TOPIX Mid400
355,7947,エフピコ,TOPIX Mid400
356,7951,ヤマハ,TOPIX Mid400
357,7956,ピジョン,TOPIX Mid400
358,7966,リンテック,TOPIX Mid400
359,7974,任天堂,TOPIX Core30
360,7984,コクヨ,TOPIX Mid400
361,7988,ニフコ,TOPIX Mid400
362,8001,伊藤忠商事,TOPIX Core30
363,8002,丸紅,TOPIX Large70
364,8012,長瀬産業,TOPIX Mid400
365,8015,豊田通商,TOPIX Mid400
366,8031,三井物産,TOPIX Core30
367,8035,東京エレクトロン,TOPIX Core30
368,8053,住友商事,TOPIX Large70
369,8056,ＢＩＰＲＯＧＹ,TOPIX Mid400
370,8058,三菱商事,TOPIX Core30
371,8060,キヤノンマーケティングジャパン,TOPIX Mid400
372,8086,ニプロ,TOPIX Mid400
373,8088,岩谷産業,TOPIX Mid400
374,8111,ゴールドウイン,TOPIX Mid400
